Section,Tier,Increment,Phase,Code,Description,PctOfSplit,Target,Actual,Status,FilePath
TIER,T500,,TOTAL,T500,Tier 500 cumulative: SFT 400 + DPO 100,,500,502,DONE,
TIER,T1000,,TOTAL,T1000,Tier 1000 cumulative: SFT 800 + DPO 200,,1000,1003,DONE,
TIER,T2500,,TOTAL,T2500,Tier 2500 cumulative: SFT 2000 + DPO 500,,2500,2481,DONE (1981 SFT + 500 DPO from inc_001-003),
TIER,T5000,,TOTAL,T5000,Tier 5000 cumulative: SFT 4000 + DPO 1000,,5000,4947,DONE (3936 SFT + 1011 DPO from inc_001-004),
TIER,T7500,,TOTAL,T7500,Tier 7500 cumulative: SFT 6000 + DPO 1500,,7500,4947,"IN_PROGRESS (3936/6000 SFT, 1011/1500 DPO)",
TIER,T10000,,TOTAL,T10000,Tier 10000 cumulative: SFT 8000 + DPO 2000,,10000,4947,"IN_PROGRESS (3936/8000 SFT, 1011/2000 DPO)",
SFT,T500,increment_001,SFT,A,Anti-assistant register,18%,72,80,DONE,dataset/v2/increment_001/sft/domain_A_001.jsonl
SFT,T500,increment_001,SFT,B,Frame integrity probes,10%,40,40,DONE,dataset/v2/increment_001/sft/domain_B_001.jsonl
SFT,T500,increment_001,SFT,C,Voice / brevity defaults,14%,56,56,DONE,dataset/v2/increment_001/sft/domain_C_001.jsonl
SFT,T500,increment_001,SFT,D,Multi-turn + within-conv memory,19%,76,70,PARTIAL (70/76),dataset/v2/increment_001/sft/domain_D_001.jsonl
SFT,T500,increment_001,SFT,E,Specific Threshold work texture,11%,44,44,DONE,dataset/v2/increment_001/sft/domain_E_001.jsonl
SFT,T500,increment_001,SFT,F,Specific personal life,9%,36,36,DONE,dataset/v2/increment_001/sft/domain_F_001.jsonl
SFT,T500,increment_001,SFT,G,Memory archive scenes,5%,20,20,DONE,dataset/v2/increment_001/sft/domain_G_001.jsonl
SFT,T500,increment_001,SFT,H,Boundaries / refusals,6%,24,24,DONE,dataset/v2/increment_001/sft/domain_H_001.jsonl
SFT,T500,increment_001,SFT,I,Vision in K0 voice,8%,32,32,DONE,dataset/v2/increment_001/sft/domain_I_001.jsonl
SFT,T1000,increment_002,SFT,A,Anti-assistant register,18%,72,73,DONE,dataset/v2/increment_002/sft/domain_A_002.jsonl
SFT,T1000,increment_002,SFT,B,Frame integrity probes,10%,40,40,DONE,dataset/v2/increment_002/sft/domain_B_002.jsonl
SFT,T1000,increment_002,SFT,C,Voice / brevity defaults,14%,56,56,DONE,dataset/v2/increment_002/sft/domain_C_002.jsonl
SFT,T1000,increment_002,SFT,D,Multi-turn + within-conv memory,19%,76,76,DONE,dataset/v2/increment_002/sft/domain_D_002.jsonl
SFT,T1000,increment_002,SFT,E,Specific Threshold work texture,11%,44,44,DONE,dataset/v2/increment_002/sft/domain_E_002.jsonl
